Brand Name,Fragrance Name,Family,Main Accords,Key Characteristics / Comparisons,Notes Breakdown - Top,Notes Breakdown - Middle,Notes Breakdown - Base,Sillage Performance,Longevity Performance,Wearability Gender,Wearability Best Seasons,Wearability Time of Day,Fragrantica Page,Concentration,Bottle volume (ml),Opened,Batch number,Production date,Expiration date,Barcode,Extra information,Perfumer,Launch year,Ingredients,Thumbnail image,Extra bottle,"Personal rating
(1 worst to 10 best)",Woman likes
Joop!,Joop! Homme,Oriental Fougere,"vanilla, warm spicy, white floral, powdery, citrus, cinnamon, sweet, woody, aromatic, floral","Iconic, bold, and sweet oriental fragrance. Community reviews consistently highlight its polarizing, ""in your face"" character with an unmistakable blend of sweet cinnamon, honey, orange blossom, and vanilla. It's considered a ""beast-mode"" powerhouse. It is often compared to other very loud, sweet fragrances of its era. Its dense, warm, and sugary profile makes it a definitive fragrance for cold weather and evening or clubbing situations","Orange Blossom, Mandarin Orange, Bergamot and Amalfi Lemon","Cinnamon, Heliotrope, Jasmine, Cardamom and Lily-of-the-Valley","Vanilla, Tonka Bean, Sandalwood, Patchouli, Honey, Tobacco and Vetiver","Enormous, Strong","Eternal, Long lasting","Unisex, More male","Winter, Fall","Night, Day",https://www.fragrantica.com/perfume/Joop/Joop-Homme-1251.html,EDT,125,09/2025,4332,11/2024,UNDEFINED,3414206004910,Tester,Michel Almairac,1989,"Alcohol Denat., Aqua/Water/Eau, Parfum/Fragrance, Ethylhexyl Methoxycinnamate, Coumarin, Limonene, Butyl Methoxydibenzoylmethane, Ethylhexyl Salicylate, Alpha-Isomethyl Ionone, Linalool, Hydroxycitronellal, Cinnamal, Eugenol, Citral, Geraniol, Bht, D&C Red No. 33 (Ci 17200), Fd&C Yellow No. 5 (Ci 19140), Fd&C Blue No. 1 (Ci 42090)",https://fimgs.net/mdimg/perfume-thumbs/375x500.1251.avif,,,
Joop!,Joop! Homme Le Parfum ,Oriental Fougere,"sweet, vanilla, iris, powdery, lavender, aromatic, violet, amber, earthy, lactonic","Powerful, sweet, powdery, vanilla-iris-praline scent with great longevity, often compared to the style of Stronger With You Intensely or JPG Le Male Le Parfum, and is best suited for cold weather due to its rich, heavy nature",Lavender,Iris,"Vanilla, Praline and Tonka Bean","Strong, Moderate","Long lasting, Moderate","More male, Male","Fall, Winter, Spring",Night,https://www.fragrantica.com/perfume/Joop/Joop-Homme-Le-Parfum-72309.html,EDP,75,12/2025,4330,11/2024,UNDEFINED,3616303040505,"Made in France
Coty
Ref OG62272829",Karine Dubreuil-Sereni,2022,"ALCOHOL DENAT., PARFUM/FRAGRANCE, AQUA/WATER/EAU, ETHYLHEXYL SALICYLATE, BUTYL METHOXYDIBENZOYLMETHANE, LINALOOL, COUMARIN, LIMONENE, HYDROXYCITRONELLAL, ALPHA-ISOMETHYL IONONE, CITRONELLOL, ISOEUGENOL, EUGENOL, CINNAMAL, ALCOHOL, GERANIOL, CITRAL, TRIS(TETRAMETHYLHYDROXYPIPERIDINOL) CITRATE, METHYL 2-OCTYNOATE, FD&C RED NO. 4 (CI 14700), D&C RED NO. 33 (CI 17200), FD&C BLUE NO. 1 (CI 42090), FD&C YELLOW NO. 5 (CI 19140)",https://fimgs.net/mdimg/perfume-thumbs/375x500.72309.avif,,,
Joseph Abboud,Joseph Abboud (Original),Woody Aromatic,"aromatic, woody, fresh spicy, citrus, warm spicy, powdery, herbal, musky, green, white floral","""Very distinctive and unique."" ""Hint of petroleum, similar to Dior Fahrenheit."" ""Niche quality, natural, botanical."" ""Fabulously deep, rich, dry woody-spicy citrus from the early 90s."" ""One of the most unusual citrus."" ""Cedar Bomb."" Reminds of Burberry London Special Edition for Men, Felci L'Erbolario, Legendary Harley-Davidson.","Cedar, Vetiver, Pepper, Sandalwood, Orange, Cardamom, Musk, Basil, Jasmine, Thyme, Lemon, Ginger, Ambergris, Bergamot, Chamomile, Violet",N/A,N/A,"Moderate, Strong","Long lasting, Moderate","Male, More male","Winter, Fall",Night,https://www.fragrantica.com/perfume/Joseph-Abboud/Joseph-Abboud-Original-40229.html,EDT,5,08/2025,7024,UNKNOWN,UNKNOWN,8011003082520,Mini,Harry Fremont,1992,UNKNOWN,https://fimgs.net/mdimg/perfume-thumbs/375x500.40229.avif,,,
Jovan,Jovan Musk for Men,Woody Floral Musk,"musky, warm spicy, aromatic, powdery, fresh spicy, lavender, floral, citrus, woody, amber","Timeless, classic, and polarizing musky fragrance. Community reviews highlight its unique blend of clean, soapy, and powdery notes with a warm, spicy undertone. It's a ""your skin but better"" scent, but with a confident, masculine edge. It's often compared to Kiehl's Original Musk and other ""old-school"" barbershop scents. Its soft and clean nature makes it a great, versatile all-season fragrance","Carnation, Pepper, Amalfi Lemon and Lime","Spices, Lavender, Amber and Mint",Musk and Woodsy Notes,"Moderate, Strong","Moderate, Long lasting","Male, More male","Fall, Winter, Spring, Summer","Day, Night",https://www.fragrantica.com/perfume/Jovan/Jovan-Musk-for-Men-7469.html,EDC,88,09/2025,3124,05/2023,UNDEFINED,35017009029,,Murray Moscona,1973,"ALCOHOL DENAT., AQUA/WATER, PARFUM/FRAGRANCE, ETHYLHEXYL METHOXYCINNAMATE, LINALOOL, LIMONENE, BENZOPHENONE-3, ETHYLHEXYL SALICYLATE, CINNAMYL ALCOHOL, PROPYLENE GLYCOL, HYDROXYCITRONELLAL, BUTYL METHOXYDIBENZOYLMETHANE, COUMARIN, ALPHA-ISOMETHYL IONONE, HEXYL CINNAMAL, BENZYL BENZOATE, ISOEUGENOL, CITRAL, GERANIOL, FARNESOL, CITRONELLOL, BENZYL SALICYLATE, BHT, FD&C YELLOW 6 (CI 15985), FD&C YELLOW 5 (CI 19140), D&C RED 33 (CI 17200), D&C GREEN 5 (CI 61570)",https://fimgs.net/mdimg/perfume-thumbs/375x500.7469.avif,,,
Karl Lagerfeld,Lagerfeld Classic Grey,Oriental Woody,"woody, fresh spicy, aromatic, nutty, powdery","Modern, woody, slightly sweet, and nutty aromatic scent with prominent notes of lavender, hazelnut, sandalwood, and vanilla, often likened to a creamy, soapy, or woody-vanillic profile and nothing like the original Lagerfeld Classic, and is generally considered most suitable for Fall and Winter due to its warmth and depth","Bay Leaf, Hazelnut and Lavender",Oak and Cedar,"Sandalwood, Vanilla and Moss","Moderate, Intimate","Moderate, Long lasting","Male, More male","Fall, Spring, Winter, Summer","Day, Night",https://www.fragrantica.com/perfume/Karl-Lagerfeld/Lagerfeld-Classic-Grey-72953.html,EDT,100,,,,,,Tester,Alexis Dadier,2022,"ALCOHOL DENAT. (SD ALCOHOL 39-C), PARFUM (FRAGRANCE), AQUA (WATER), LINALOOL, LIMONENE, EUGENOL",https://fimgs.net/mdimg/perfume-thumbs/375x500.72953.avif,,,
Khadlaj Perfumes,Oud Noir,Oriental Woody,"amber, rose, oud, warm spicy, fruity, woody, sweet, smoky, earthy, patchouli","Close to Ombre Nomade. ""No brainer for the price."" ""Way too masculine!"" for some. Reminds of Jean Lowe Ombre Maison Alhambra (7 votes), Ombre Nomade Louis Vuitton (9 votes).","Raspberry, Saffron","Rose, Incense, Cypriol","Oud, Amber, Patchouli","Strong, Moderate","Long lasting, Moderate","Unisex, Male","Winter, Spring, Fall","Day, Night",https://www.fragrantica.com/perfume/Khadlaj-Perfumes/Oud-Noir-107013.html,EDP,100,07/2025,KM-651/4/PR-089,04/2025,03/2030,6291107974170,,Unknown,2018,"ETHANOL (DENAT), PARFUM (FRAGRANCE), WATER (AQUA), DIPROPYLENE GLYCOL, LINALOOL, COUMARIN, GERANIOL, BENZYL ALCOHOL, AMYL CINNAMAL, CINNAMYL ALCOHOL, CITRAL, EUGENOL, ISOEUGENOL, LIMONENE, BENZYL BENZOATE, CITRONELLOL, HEXYL CINNAMAL",https://fimgs.net/mdimg/perfume-thumbs/375x500.107013.avif,,,
Khadlaj Perfumes,Valor Enigma,Green Sweet Aromatic,"Green, Sweet","Cannabis smelling, compared to ""Cannabis"" from Bois 1920. Woody, spicy, and aromatic fragrance. Community reviews highlight a unique and challenging opening with oregano and pepper before it settles into a more pleasant, warm, and musky dry-down with notes of cedarwood, nutmeg, and patchouli. While some find it to be a unique scent, others find it too strong or medicinal. Due to its warmth and spicy nature, it is best suited for cold weather (fall/winter) and evening wear","Bergamot, Oregano","Musk, Nutmeg","Cedarwood, Patchouli","Moderate, Strong","Long lasting, Moderate","Unisex, More male","Spring, Summer, Fall",Day,https://www.parfumo.com/Perfumes/Khadlaj/valor-enigma,EDP,100,08/2025,B:KM-790/2/PR-029,02/2024,01/2029,6291107975979,,Unknown,2024,"Alcohol Denat, Aqua/Water/Eau, Parfum/Fragrance, Ethylhexyl Methoxycinnamate, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Butyl Methoxydibenzoylmethane, Ethylhexyl Salicylate, Limonene, Linalool, Hydroxycitronellal, Citronellol, Geraniol, Citral, Benzyl",https://media.parfumo.com/perfumes/37/37ca0a-valor-enigma-khadlaj_1200.jpg,,,
Lalique,Encre Noire,Woody Aromatic,"Woody, aromatic, earthy, musky, fresh spicy","Iconic, dark, moody, and minimalist Woody Aromatic fragrance, overwhelmingly characterized by a powerful, dry, earthy, and sometimes ""inky"" blend of Haitian and Bourbon vetiver and cypress over a base of cashmere wood and musk, is frequently compared to Chanel Sycomore for its high-quality vetiver focus and sometimes contrasted with the bright vetiver of Terre d'Hermès, and is almost universally recommended for colder weather, specifically autumn and winter nights, due to its austere, sophisticated, and somber depth. Deep, dark, sensual, woody, aromatic, earthy (masculine). Unusual",Cypress,Vetiver,"Cashmere Wood, Musk","Moderate, Strong","Long lasting, Moderate","Male, More male","Winter, Fall",Night,https://www.fragrantica.com/perfume/Lalique/Encre-Noire-1834.html,EDT,100,06/2025,D1C23,03/2023,UNDEFINED,3454960022522,,Nathalie Lorson,2006,ALCOHOL DENAT. PARFUM (FRAGRANCE) AQUA (WATER) HEXYL CINNAMAL LIMONENE LINALOOL ISOEUGENOL CITRAL,https://fimgs.net/mdimg/perfume-thumbs/375x500.1834.avif,,,
Lalique,Encre Noire A L'Extreme,Woody Aromatic,"woody, aromatic, amber, balsamic, warm spicy, earthy, smoky, fresh spicy","Dark, smoky, and woody fragrance. Community reviews highlight its ""beast-mode"" performance and a scent profile with a prominent smoky incense and vetiver, with added warmth from patchouli and sandalwood. It's often compared to the original Encre Noire but is less linear and more ""gothic"" or resinous. Its dark and warm character makes it best suited for cold weather and evening wear","Cypress, Elemi resin and Bergamot","Haitian Vetiver, Vetiver, Incense and Orris","Benzoin, Sandalwood and Patchouli","Moderate, Strong","Long lasting, Moderate","Male, More male","Winter, Fall","Night, Day",https://www.fragrantica.com/perfume/Lalique/Encre-Noire-A-L-Extreme-32356.html,EDP,100,09/2025,M0K24,10/2024,UNDEFINED,7640111502791,,Nathalie Lorson,2015,"ALCOHOL DENAT. PARFUM (FRAGRANCE) AQUA (WATER) ETHYLHEXYL METHOXYCINNAMATE BUTYL METHOXYDIBENZOYLMETHANE ETHYLHEXYL SALICYLATE TRIS(TETRAMETHYLHYDROXYPIPERIDINOL) CITRATE ALCOHOL BHT HEXYL CINNAMAL LIMONENE LINALOOL ISOEUGENOL GERANIOL BENZYL BENZOATE CITRAL COUMARIN CI 14700 (RED 4) CI 19140 (YELLOW 5) CI 17200 (RED 33) CI 60730 (EXT VIOLET 2)
",https://fimgs.net/mdimg/perfume-thumbs/375x500.32356.avif,,,
Lalique,Encre Noire Sport,Woody Aquatic,"Woody, Aromatic, Citrus, Fresh Spicy, Earthy, Aquatic, Musky","Fresh, clean, and woody aquatic vetiver scent, retaining the original's earthy, cypress-heavy vetiver DNA but brightened with prominent opening notes of grapefruit and bergamot and a distinct aquatic accord; it is most commonly compared to a more wearable, fresher version of the original Lalique Encre Noire and sometimes to Tom Ford Grey Vetiver or Guerlain Vetiver, making it ideal for warmer days in spring and summer, though its woody depth makes it versatile enough for fall. Suitable for daytime. Great for spring/summer","Grapefruit, Bergamot, Nutmeg","Cypress, Watery Notes, Lavender","Bourbon Vetiver, Haitian Vetiver, Cashmere Wood, Musk","Moderate, Intimate","Moderate, Long lasting","Male, More male","Spring, Summer","Day, Night",https://www.fragrantica.com/perfume/Lalique/Encre-Noire-Sport-21369.html,EDT,100,08/2025,E0E23,05/2023,UNDEFINED,7640111500902,,Nathalie Lorson,2013,ALCOHOL DENAT. PARFUM (FRAGRANCE) AQUA (WATER) ETHYLHEXYL METHOXYCINNAMATE ETHYLHEXYL SALICYLATE BUTYL METHOXYDIBENZOYLMETHANE LIMONENE HEXYL CINNAMAL BUTYLPHENYL METHYLPROPIONAL LINALOOL GERANIOL ISOEUGENOL CITRAL CITRONELLOL EUGENOL CI 17200 (RED 33) CI 42090 (BLUE 1),https://fimgs.net/mdimg/perfume-thumbs/375x500.21369.avif,,,
Lalique,Lalique Pour Homme EDP,Woody Aromatic,"Woody, Citrus, Aromatic, Fresh Spicy, Powdery, Lavender, Earthy, Iris, Mossy, Vanilla","Classy, timeless, and sophisticated Woody Aromatic scent with a prominent profile of citrus and aromatic lavender in the opening that settles into a dry, elegant cedar, powdery iris, and warm base of oakmoss, sandalwood, and vanilla; it is often compared to the style of classic, refined scents like Creed Bois du Portugal and Guerlain Héritage, and is considered highly versatile for a gentlemanly, year-round wear, though its richness may lean slightly better toward spring, fall, and cooler days. Mature, timeless, classy, refined, high quality. ""Barbershop"" scent","Lavender, Rosemary, Bergamot, Grapefruit, Pomelo, Mandarin Orange, Tangerine","Cedar, Iris, Lily-of-the-Valley, Jasmine","Oakmoss, Sandalwood, Vanilla, Patchouli, Amber","Moderate, Strong","Long lasting, Moderate","Male, More male","Winter, Spring, Summer, Fall","Day, Night",https://www.fragrantica.com/perfume/Lalique/Lalique-Pour-Homme-1844.html,EDP,125,08/2025,B0G22,07/2022,UNDEFINED,3454960007468,,Maurice Roucel,1997,ALCOHOL DENAT. PARFUM (FRAGRANCE) AQUA (WATER) LINALOOL LIMONENE BUTYLPHENYL METHYLPROPIONAL ALPHA-ISOMETHYL IONONE COUMARIN GERANIOL CITRAL CITRONELLOL EUGENOL ISOEUGENOL,https://fimgs.net/mdimg/perfume-thumbs/375x500.1844.avif,,,
Lalique,Lalique Pour Homme EDT,Woody Aromatic,"Woody, Citrus, Aromatic, Fresh Spicy, Powdery, Lavender, Earthy, Iris, Mossy, Vanilla","Timeless, classy, and sophisticated Aromatic Woody Fougere scent that blends crisp citrus, lavender, dry cedar, oakmoss, and a touch of vanilla/iris, celebrated as an affordable, gentlemanly fragrance often compared to the style of Creed Bois du Portugal or Boucheron Pour Homme, and while versatile, its dry woodiness and warmth make it best for year-round, office-safe daywear or cooler days, with the EDT being noted as louder, richer in oakmoss/rosemary, and more ""old-school"" than the EDP which is smoother, sweeter, and more vanilla-forward","Lavender, Rosemary, Bergamot, Grapefruit, Pomelo, Mandarin Orange, Tangerine","Cedar, Iris, Lily-of-the-Valley, Jasmine","Oakmoss, Sandalwood, Vanilla, Patchouli, Amber","Strong, Moderate","Moderate, Long lasting","Male, More male","Spring, Summer, Fall, Winter","Day, Night",https://www.fragrantica.com/perfume/Lalique/Lalique-Pour-Homme-1844.html,EDT,125,,M0M20,12/2020,UNDEFINED,3454960007918,"Tester 80%VOL
E63201
Made in France",Maurice Roucel,1997,"ALCOHOL DENAT., AQUA/WATER/EAU, PARFUM/FRAGRANCE, ETHYLHEXYL METHOXYCINNAMATE, DIETHYLAMINO HYDROXYBENZOYL HEXYLBENZOATE, BHT, LIMONENE, LINALOOL, CITRAL",https://fimgs.net/mdimg/perfume-thumbs/375x500.1844.avif,,,
Lalique,Lalique Pour Homme Equus,Oriental Spicy,"Woody, Aromatic, Fresh Spicy, Citrus, Warm Spicy","Sophisticated, spicy-woody aromatic scent with a clear opening of citrus and juniper that quickly settles into a core of rich sequoia/redwood, warm cardamom, and subtle leather/vetiver; it is often compared favorably to the style of Creed Royal Oud (due to the woody profile) and sometimes Gucci Pour Homme II or L'Occitane Eau des Baux, and its balance of freshness and warmth makes it a versatile choice, performing optimally in the spring and fall, though it is suitable for year-round wear Quality, masculine. Bitter woods with citrus/warm spicy","Bergamot, Lemon, Citron","Juniper, Cardamom, Violet Leaf, Nutmeg, Brazilian Redwood, Mace","Sequoia, Vetiver, Leather, Benzoin, Amyris, Musk","Moderate, Intimate","Moderate, Long lasting","Male, More male","Winter, Spring, Summer, Fall","Day, Night",https://www.fragrantica.com/perfume/Lalique/Lalique-Pour-Homme-Equus-2683.html,EDP,75,07/2025,A0A24,01/2024,UNDEFINED,3454960014169,,Emilie Coppermann,2001,"ALCOHOL DENAT, PARFUM(FRAGRANCE) AQUA9WATER) ETHYLHEXYL, METHOXYCINNAMATE, BUTYL, METHOXYDIBENZOYLMETHANE, ETHYLHEXYL, SALICYLATE, LIMONENE, LINALOOL, CITRAL, COUMARIN, GERANIOL, EUGENOL, BENZYL, BENZOATE, ISOEUGENOL, CI 14700(RED 4) CI 19140 (YELLOW 5) CI 17200( RED 33) CI 60730(EXT VIOLET 2)",https://fimgs.net/mdimg/perfume-thumbs/375x500.2683.avif,,,
Lattafa Perfumes,Al Areeq Gold,Leather / Gourmand,"leather, amber, vanilla, warm spicy, smoky, musky, powdery, animalic, balsamic, woody","Initial ""rubbery"" or ""gasoline"" smell that often dissipates with maceration. Prominent notes of leather, vanilla, saffron, black tea. Reminds of Valentino Donna Noir Absolu, Zimaya Wujood Afnan, Black Bvlgari, Crystal Saffron Matiere Premiere.","Saffron, Black Tea","Suede, Leather, Incense","Vanilla, Amberwood, Musk","Strong, Moderate","Long lasting, Eternal","Unisex, Male","Winter, Fall",Night,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Al-Areeq-Gold-82810.html,EDP,20,06/2025,UNKNOWN,05/2022,05/2027,620135785469,Tester,Unknown,2022,"Alcohol Denat, Fragrance (Parfum), Water (Aqua), Eugenol, Alpha-Isomethyl Ionone",https://fimgs.net/mdimg/perfume-thumbs/375x500.82810.avif,,,
Lattafa Perfumes,Al Areeq Silver,Leather / Woody,"leather, woody, aromatic, tobacco, warm spicy, animalic, oud, powdery, sweet, musky","Common descriptors include leather, tobacco, oud, smoky, woody, sometimes notes of burning rubber or gasoline in negative reviews. Masculine, sophisticated, unique, good quality for price. Reminds of Black Incense Malaki Chopard, Gucci Guilty Absolute Gucci, Falkar Bvlgari, Meydan The Spirit of Dubai.","Cardamom, Apple, Lavender","Tobacco, Oud, Cypress, Jasmine","Leather, Musk, Sandalwood, Vanilla","Strong, Moderate","Long lasting, Eternal","Male, More male","Winter, Fall","Day, Night",https://www.fragrantica.com/perfume/Lattafa-Perfumes/Al-Areeq-Silver-82811.html,EDP,20,06/2025,UNKNOWN,07/2023,07/2028,260017,Tester,Unknown,2022,"Alcohol Denat, Fragrance (Parfum), Water (Aqua), Linalool, Limonene, Citral, Coumarin, Geraniol, Benzyl Benzoate, Eugenol, Citronellol, Cinnamyl Alcohol, Farnesol, Isoeugenol",https://fimgs.net/mdimg/perfume-thumbs/375x500.82811.avif,,,
Lattafa Perfumes,Al Nashama Caprice,Aromatic / Warm Spicy,"Aromatic, Warm Spicy, Fresh Spicy, Lavender, Woody, Amber, Citrus, Green, Herbal","Widely reviewed as a high-quality clone of YSL La Nuit de L'Homme Bleu Électrique, presenting a fresh, spicy, powdery, and aromatic profile with key notes of cardamom, ginger, lavender, and cedarwood that is described as smooth, elegant, and versatile, making it best suited for year-round evening wear and cooler days in the fall and winter. Improves after maceration. Some note a ""spiced baby wipes"" scent","Cardamom, Ginger, Bergamot, Lemon","Lavender, Geranium, Mint","Amber, Cedarwood, Vetiver, Patchouli","Moderate, Strong","Long lasting, Moderate","Male, More male","Winter, Spring, Summer, Fall",Night,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Al-Nashama-Caprice-89764.html,EDP,100,06/2025,M12-240902191,10/2024,10/2029,6290360593173,,Unknown,2024,"ALCOHOL DENAT., AQUA/WATER/EAU, PARFUM/FRAGRANCE, METHYL CYCLODEXTRIN, ETHYLHEXYL SALICYLATE, LIMONENE, BUTYL METHOXYDIBENZOYLMETHANE, LINALOOL, CITRAL, ALCOHOL, TRIS CITRATE, FARNESOL, TETRASODIUM GLUTAMATE DIACETATE, EXT. D&C VIOLET NO. 2 (CI 60730), FD&C BLUE NO. 1 (CI 42090), FD&C RED NO. 4 (CI 14700)",https://fimgs.net/mdimg/perfume-thumbs/375x500.89764.avif,,,
Lattafa Perfumes,Ameer Al Oudh Intense Oud,Oriental,"Woody, vanilla, sweet, oud, powdery","Warm, sweet, woody-oriental gourmand scent with dominant notes of smoky wood, sweet vanilla, sugar, and oud that creates a cozy, burning-embers/marshmallow atmosphere; it is overwhelmingly compared to and considered a very close clone of Maison Margiela Replica By the Fireplace, and due to its rich, intense warmth, it is strictly recommended for cooler days in the fall and winter. Affordable. Smokey and creamy vanilla notes. Long-lasting. More woody than sweet, leans masculine. Winner of FRAGRANTICA READERS AWARDS 2022","Woodsy Notes, Agarwood (Oud)","Sugar, Vanilla","Agarwood (Oud), Sandalwood, Herbal Notes","Strong, Moderate","Long lasting, Eternal","Unisex, More male","Winter, Spring, Fall","Day, Night",https://www.fragrantica.com/perfume/Lattafa-Perfumes/Ameer-Al-Oudh-Intense-Oud-64947.html,EDP,100,08/2025,M11-241000749,10/2024,10/2029,6291107458571,,Unknown,2021,"ALCOHOL DENAT., PARFUM (FRAGRANCE), WATER (AQUA), LINALOOL, LIMONENE, CINNAMAL, EUGENOL, ISOEUGENOL",https://fimgs.net/mdimg/perfume-thumbs/375x500.64947.avif,,,
Lattafa Perfumes,Asad,Oriental,"Amber, fresh spicy, vanilla, woody, warm spicy, sweet, tobacco, powdery, patchouli, balsamic","Incredibly popular and highly-rated spicy-sweet amber scent, with reviewers consistently noting prominent notes of black pepper, pineapple, vanilla, and amber, creating a warm, smoky, and resinous profile; it is virtually universally compared to and considered a high-performing clone of Dior Sauvage Elixir, and due to its intensity and warm, heavy notes, it is strongly recommended for cooler weather, excelling in fall and winter days and evenings. Affordable price. Strong projection for first 2 hours. Winner in FRAGRANTICA READERS AWARDS 2022","Black Pepper, Tobacco, Pineapple","Patchouli, Coffee, Iris","Vanilla, Amber, Dry Wood, Benzoin, Labdanum","Strong, Moderate","Long lasting, Moderate","Male, More male","Winter, Spring, Summer, Fall",Night,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Asad-72821.html,EDP,100,06/2025,M02-240101660,01/2024,01/2029,6291108735411,,Unknown,2021,"ALCOHOL DENAT, PARFUM (FRAGRANCE), AQUA (WATER), ETHYLHEXYL METHOXYCINNAMATE, BUTYL METHOXYDIBENZOYLMETHANE, ETHYLHEXYL SALICYLATE, CI 15985, CI 60730, CI 17200",https://fimgs.net/mdimg/perfume-thumbs/375x500.72821.avif,,,
Lattafa Perfumes,Asad Zanzibar,Aromatic Gourmand / Oriental Fougere,"vanilla, iris, powdery, fresh spicy, lavender, salty, violet, amber, balsamic, warm spicy","Fresh, modern, and polarizing fragrance. Community reviews highlight its unique opening, with notes of salty coconut water, lavender, and black pepper. Many find it a surprisingly salty and sweet scent with a ""calming"" iris note. It's often compared to scents like Paco Rabanne Invictus Victory Elixir, but with a more tropical, creamy feel. Its fresh yet dense character makes it versatile, suitable for all-season wear, but some find it too heavy for hot days.",Lavender and Black Pepper,"Coconut Water, Iris and Salt",Vanilla and Incense,"Moderate, Strong","Long lasting, Moderate","More male, Unisex","Winter, Spring, Fall","Day, Night",https://www.fragrantica.com/perfume/Lattafa-Perfumes/Asad-Zanzibar-90713.html,EDP,100,09/2025,M02-240500677,05/2024,05/2029,6290360598666,,Fanny Bal,2024,"ALCOHOL DENAT., PARFUM (FRAGRANCE), WATER (AQUA), BENZYL SALICYLATE, LIMONENE, HYDROXYCITRONELLAL, CITRAL, GERANIOL, BENZYL BENZOATE, CITRONELLOL, BENZYL ALCOHOL, ISOEUGENOL, HEXYL CINNAMAL",https://fimgs.net/mdimg/perfume-thumbs/375x500.90713.avif,,,
Lattafa Perfumes,Bade'e Al Oud Amethyst,"Woody Amber Crisp Fruity
Oriental Vanilla","rose, oud, amber, soft spicy, floral, vanilla, citrus, fresh spicy, white floral","Powerful, jammy rose and smoky oud scent best for cold weather and evenings, often compared to a sweeter twist on Lattafa's Oud For Glory and Initio's Atomic Rose, though some note a harsh opening that requires maceration",Pink Pepper and Bergamot,"Turkish Rose, Bulgarian Rose and Jasmine","Agarwood (Oud), Amber and Vanilla","Strong, Moderate","Long lasting, Eternal","Unisex, More female","Winter, Fall, Spring","Night, Day",https://www.fragrantica.com/perfume/Lattafa-Perfumes/Bade-e-Al-Oud-Amethyst-68214.html,EDP,100,10/2025,UNKNOWN,UNKNOWN,UNKNOWN,750326974125,Tester,Unknown,2021,"ALCOHOL DENAT, FRAGRANCE (PARFUM), WATER(AQUA), LINALOOL, LIMONENE, EUGENOL",https://fimgs.net/mdimg/perfume-thumbs/375x500.68214.avif,,,
Lattafa Perfumes,Bade'e Al Oud Honor & Glory,Oriental Gourmand,"Sweet, warm spicy, fruity, vanilla, woody, powdery, cinnamon, tropical","Unique, powerful sweet, woody, and tropical gourmand fragrance, dominated by a distinctive crème brûlée/pineapple note combined with turmeric spice, cinnamon, and a rich musk/sandalwood base; while not a direct clone of a single fragrance, it is sometimes compared to other sweet, woody scents like Paco Rabanne Invictus Victory Elixir or the style of Xerjoff Erba Pura due to its density, and its rich, warm sweetness makes it best suited for cooler weather in fall and winter","Pineapple, Creme Brulee","Cinnamon, Turmeric, Black Pepper, Benzoin","Vanilla, Sandalwood, Cashmeran, Moss","Moderate, Strong","Long lasting, Moderate","Unisex, More female","Winter, Spring, Summer, Fall","Day, Night",https://www.fragrantica.com/perfume/Lattafa-Perfumes/Bade-e-Al-Oud-Honor-Glory-84302.html,EDP,100,06/2025,MLN6.1001572,11/2024,11/2029,6290360593135,,Unknown,2023,Alcohol Denat. Parfum (Fragrance) Aqua (Water) Benzyl Salicylate Citral Citronellol Geraniol Hydroxycitronellal Limonene Linalool,https://fimgs.net/mdimg/perfume-thumbs/375x500.84302.avif,,,
Lattafa Perfumes,Bade'e Al Oud Oud for Glory,Oriental Woody,"oud, warm spicy, fresh spicy, patchouli, metallic, musky, woody, lavender, leather, earthy","Rich, dense, and complex woody, smoky, and spicy oriental fragrance featuring dominant notes of saffron, nutmeg, agarwood (oud), and patchouli that create a luxurious, powerful profile; it is consistently reviewed as an extremely accurate and high-performing clone of Initio Parfums Privés Oud for Greatness, and due to its intensity and warmth, it is strictly best suited for cooler weather, excelling in fall and winter evenings and nights. Excellent price point, long-lasting, strong sillage. Not a safe blind buy, very potent and headache inducing for some. Reminds also of Haltane Parfums de Marly","Saffron, Nutmeg, Lavender","Agarwood (Oud), Patchouli","Agarwood (Oud), Patchouli, Musk","Strong, Moderate","Long lasting, Eternal","Male, More male","Winter, Spring, Fall","Day, Night",https://www.fragrantica.com/perfume/Lattafa-Perfumes/Bade-e-Al-Oud-Oud-for-Glory-64948.html,EDP,100,06/2025,MN12-240401072,02/2024,02/2029,6291107458328,,Unknown,2023,"Alcohol Denatured, Fragrance Active Ingredients, Water(Aqua), Linalool, Limonene, Eugenol",https://fimgs.net/mdimg/perfume-thumbs/375x500.64948.avif,,,
